N_TOKENS,einsum,arch,energy,latency,ops_per_tensor_element,ops_per_cycle,allocation
4096,QK,TPU,0.0017414373244156092,0.0005285119987092912,0.9920077500605473,31.744248079461922,
4096,QK_softmax,TPU,2.708262029354692e-05,8.191999768314417e-06,0.5,16.000000452510918,
4096,AV,TPU,0.0017427304480468944,0.0005285119987092912,0.9920077500605473,31.744248079461922,
4096,Z,TPU,0.001729720044959573,0.0005245439824648201,0.9995119570522206,31.984383694889125,
4096,FFA,TPU,0.0069165293384465185,0.0020977919921278954,0.9996949173225944,31.990237474368524,
4096,FFB,TPU,0.0069166728618192605,0.0020977919921278954,0.9996949173225944,31.990237474368524,
4096,I,Hybrid,5.554348247885452e-15,1.5999999547489097e-08,0.5,256.0,AiM
4096,V_new,Hybrid,0.0007729963518744726,3.4823999158106744e-05,0.9995119570522206,481.7716369628906,AiM
4096,K_new,Hybrid,0.0007729963518744726,3.4823999158106744e-05,0.9995119570522206,481.7716369628906,AiM
4096,Q_new,Hybrid,0.0007729963518744726,3.4823999158106744e-05,0.9995119570522206,481.7716369628906,AiM
4096,QK,Hybrid,0.0007774476225873248,3.5072000173386186e-05,0.9920077500605473,478.3649597167969,AiM
4096,QK_softmax,Hybrid,1.0280239281739142e-05,5.119999855196511e-07,0.5,256.0,AiM
4096,AV,Hybrid,0.000772996351856709,3.4823999158106744e-05,0.9920077500605473,481.7716369628906,AiM
4096,Z,Hybrid,0.0007729963518744726,3.4823999158106744e-05,0.9995119570522206,481.7716369628906,AiM
4096,FFA,Hybrid,0.003091985407426836,0.00013929599663242698,0.9996949173225944,481.7716369628906,AiM
4096,FFB,Hybrid,0.00309155463936439,0.0001392720005242154,0.9996949173225944,481.85467529296875,AiM
8192,I,AiM,5.554348247885452e-15,1.5999999547489097e-08,0.5,256.0,
8192,V_new,AiM,0.0007729963518744726,3.4823999158106744e-05,0.9995119570522206,481.7716369628906,
8192,K_new,AiM,0.0007729963518744726,3.4823999158106744e-05,0.9995119570522206,481.7716369628906,
8192,Q_new,AiM,0.0007729963518744726,3.4823999158106744e-05,0.9995119570522206,481.7716369628906,
8192,QK,AiM,0.0015548952451746496,7.014400034677237e-05,0.9921278914860119,478.3649597167969,
8192,QK_softmax,AiM,2.0560478563478284e-05,1.0239999710393022e-06,0.5,256.0,
8192,AV,AiM,0.0015458491143640056,6.96400020387955e-05,0.9921278914860119,481.8269958496094,
8192,Z,AiM,0.0007729963518744726,3.4823999158106744e-05,0.9995119570522206,481.7716369628906,
8192,FFA,AiM,0.003091985407426836,0.00013929599663242698,0.9996949173225944,481.7716369628906,
8192,FFB,AiM,0.00309155463936439,0.0001392720005242154,0.9996949173225944,481.85467529296875,
8192,I,TPU,3.893493669693271e-07,1.2799999637991277e-07,0.5,32.000000905021835,
8192,V_new,TPU,0.001729720044959573,0.0005245439824648201,0.9995119570522206,31.984383694889125,
8192,K_new,TPU,0.001729720044959573,0.0005245439824648201,0.9995119570522206,31.984383694889125,
8192,Q_new,TPU,0.001729720044959573,0.0005245439824648201,0.9995119570522206,31.984383694889125,
8192,QK,TPU,0.003482443585802391,0.0010568960569798946,0.9921278914860119,31.748090815933764,
8192,QK_softmax,TPU,5.416524058709384e-05,1.6383999536628835e-05,0.5,16.000000452510918,
8192,AV,TPU,0.0034850715466415542,0.0010568960569798946,0.9921278914860119,31.748090815933764,
8192,Z,TPU,0.001729720044959573,0.0005245439824648201,0.9995119570522206,31.984383694889125,
