N_TOKENS,einsum,arch,energy,latency,computes,ops_per_tensor_element,ops_per_cycle,allocation
8192,FFA,TPU,0.11111563973253466,0.00798915047198534,549755813888,2340.5714285714284,65536.00003449526,
8192,FFB,TPU,0.11380535922370724,0.00798915047198534,549755813888,2340.5714285714284,65536.00003449526,
8192,I,Hybrid,4.5501220846677626e-11,0.00013107199629303068,33554432,0.5,256.0000072401747,AiM
8192,V_new,Hybrid,0.0308435032266108,0.0026214399840682745,137438953472,1638.4,49932.190779651915,TPU
8192,K_new,Hybrid,0.0308435032266108,0.0026214399840682745,137438953472,1638.4,49932.190779651915,TPU
8192,Q_new,Hybrid,0.0308435032266108,0.0026214399840682745,137438953472,1638.4,49932.190779651915,TPU
8192,QK,Hybrid,0.24779413091548336,0.06920601427555084,274877906944,124.12121212121212,3782.7417969986227,TPU
8192,QK_softmax,Hybrid,0.1684314403920141,0.008388607762753963,2147483648,0.5,256.0000072401747,AiM
8192,AV,Hybrid,0.26932238610990894,0.06920601427555084,274877906944,124.12121212121212,3782.7417969986227,TPU
8192,Z,Hybrid,0.0308435032266108,0.0026214399840682745,137438953472,1638.4,49932.190779651915,TPU
8192,FFA,Hybrid,0.11111564250594239,0.00798915047198534,549755813888,2340.5714285714284,65536.00003449526,TPU
8192,FFB,Hybrid,0.11380536199711497,0.00798915047198534,549755813888,2340.5714285714284,65536.00003449526,TPU
